Timestamp,Código de Proyecto,DP,Calle,KA cliente,Técnico Responsable,Fecha de Inicio,Fecha de Finalización,Metros Soplados,Color miniducto,Incidencias (si las hubo),Fotos del Trabajo,Número de Fibras,Certificado
2/12/2026 9:44:25,QFF-001,DP-055,Egerländer Straße 16,KA28,Simon Pizarro,2/12/2026,2/12/2026,96,Violeta,Violeta Raya,https://drive.google.com/open?id=1Bjb35m2Sooko2v06Ocr6iHr-_24jNHAH,8,FALSE
2/12/2026 12:22:26,QFF-001,DP052,Messeler Weg 18,KA23,Simon Pizarro,2/12/2026,2/12/2026,115,Gris,,https://drive.google.com/open?id=1dIWcEjHhp9rQpxxUPVYQB9p7tDF1Rbt0,8,FALSE
2/12/2026 14:43:19,QFF-001,DP052,Messeler Weg 10a,KA13,Simon Pizarro,2/12/2026,2/12/2026,96,Marron,,https://drive.google.com/open?id=1jBXPEbtSn0eDhPQLyjd9o4dmRx1wEDAW,8,FALSE
2/12/2026 17:22:03,QFF-001,DP058,Auf dem Hohlrech 5,KA14,Simon Pizarro,2/12/2026,2/12/2026,115,Azul,,https://drive.google.com/open?id=1CdTFmklTmR1I4Yp2rocJBfqMQ5uAnymG,8,FALSE
2/13/2026 15:54:59,QFF-002,DP-007,Auf der Schmelz 79,KA37,Simon Pizarro,2/13/2026,2/13/2026,203,Rosa,Fibra rota a 66m de casa. Probablemente por tijeras de obra civil y no notificado.,https://drive.google.com/open?id=19M98vwlS_qCYVAmu9Glh6ZIHRbH-OaYE,8,FALSE
2/16/2026 10:42:41,QFF-001,DP-012,An der Fuchsenhütte 26 A,KA02,Simon Pizarro,2/16/2026,2/16/2026,94,Verde,,https://drive.google.com/open?id=1AEAl7eG2cvxyo1IqiROgV0ETAiusfBjU,8,FALSE
2/16/2026 10:47:46,QFF-001,DP-012,An der Fuchsenhütte 28,KA03,Simon Pizarro,2/16/2026,2/16/2026,93,Azul,,https://drive.google.com/open?id=1L8GBaH73-rCZTauuBHu_95ZDhHI3bZTV,8,FALSE
2/16/2026 10:52:10,QFF-001,DP-012,An der Fuchsenhütte 28 A,KA04,Simon Pizarro,2/16/2026,2/16/2026,94,Amarillo,,https://drive.google.com/open?id=1V1Aoo_taJFB8hwJ6ojR_qOtHy4MepIjM,8,FALSE
2/16/2026 10:58:52,QFF-001,DP-012,An der Fuchsenhütte 32,KA06,Simon Pizarro,2/16/2026,2/16/2026,94,Gris,,https://drive.google.com/open?id=1ysj2tG1IvUO9LjG0NPNnhQBSJ1W96T0c,8,FALSE
2/16/2026 11:05:58,QFF-001,DP-012,An der Fuchsenhütte 34,KA07,Simon Pizarro,2/16/2026,2/16/2026,94,Marron,,https://drive.google.com/open?id=1F7mTEYulOC6OazVOwenpvLNY0oA8aKoY,8,FALSE
2/16/2026 11:20:05,QFF-001,DP-012,An der Fuchsenhütte 36,KA08,Simon Pizarro,2/16/2026,2/16/2026,94,Violeta,,https://drive.google.com/open?id=1bYFGzxKkgiT-CbVeN-bUBL_-6VR5uw3e,8,FALSE
2/16/2026 11:28:44,QFF-001,DP-012,An der Fuchsenhütte 38,KA09,Simon Pizarro,2/16/2026,2/16/2026,94,Turquesa,,https://drive.google.com/open?id=1P51IQlCw47r0-3-2ONe3qY2QiUEJeg-y,8,FALSE
2/16/2026 11:35:46,QFF-001,DP-012,An der Fuchsenhütte 40,KA10,Simon Pizarro,2/16/2026,2/16/2026,94,Negro,,https://drive.google.com/open?id=1SpgHWN6TeetVxMK-Hj6g3vCSypML06zl,8,FALSE
2/16/2026 11:40:09,QFF-001,DP-012,An der Fuchsenhütte 9,KA11,Simon Pizarro,2/16/2026,2/16/2026,86,Rojo,,https://drive.google.com/open?id=1Qf9UHYBwxsIS4I1fm9Qv09Kgqmis5Azp,8,FALSE
2/16/2026 11:47:53,QFF-001,DP-012,An der Fuchsenhütte 11,KA14,Simon Pizarro,2/16/2026,2/16/2026,85,Verde,,https://drive.google.com/open?id=1c05wNfQ1azQjgIQbr4_3zrttZQJZyZ7h,8,FALSE
2/16/2026 11:51:55,QFF-001,DP-012,Taunusstraße 34,KA17,Simon Pizarro,2/16/2026,2/16/2026,107,Azul,,https://drive.google.com/open?id=1epEajm2h-s4Gf1SQlZAH0c0Oq4F5b7W-,8,FALSE
2/16/2026 11:58:22,QFF-001,DP-012,Taunusstraße 36,KA18,Simon Pizarro,2/16/2026,2/16/2026,110,Amarillo,,https://drive.google.com/open?id=1A4D7Ob5uDQ7XWsbBSRLsa6l7ul3TqjQ7,8,FALSE
2/16/2026 12:10:29,QFF-001,DP-012,Taunusstraße 75,KA30,Simon Pizarro,2/16/2026,2/16/2026,142,Gris,,https://drive.google.com/open?id=1f_Qh_MNDhjXMPiJEF-G6T5RUTNiuhpop,8,FALSE
2/16/2026 12:18:53,QFF-001,DP-012,Taunusstraße 77,KA31,Simon Pizarro,2/16/2026,2/16/2026,142,Marron,,https://drive.google.com/open?id=1PsQIQmykQTfkxAC3iP3B3Opt8JjDkGuY,8,FALSE
2/16/2026 12:28:28,QFF-001,DP-012,Taunusstraße 87,KA36,Simon Pizarro,2/16/2026,2/16/2026,177,Rosa,,https://drive.google.com/open?id=1d7tANlV8HmrubZyGSqyHQlpgWFtN8mmy,8,FALSE
2/17/2026 13:42:08,QFF-002,DP-04,Auf der schmelz 49,KA37,Simon Pizarro,2/17/2026,2/17/2026,195,Naranja,"Etiqueta decia chocar a 160m, retiramos la fibra negra para soplar. ",https://drive.google.com/open?id=152AmST7CQF1p5Sn0CMRBoJXTwpnFftrv,8,FALSE
2/18/2026 10:21:04,QFF-001,DP-059,Am Steinigen Berg 12,KA09,Simon Pizarro,2/18/2026,2/18/2026,82,Gris,,https://drive.google.com/open?id=1VVl_TsVGR15m7FlMWSpW0MbZoQamRq3q,8,FALSE
2/18/2026 10:25:24,QFF-001,DP-059,Hügelstraße 1,KA10,Simon Pizarro,2/18/2026,2/18/2026,93,Rojo,,https://drive.google.com/open?id=1J_8E16H2htV0SDxMkBFSniSN8cvaiQsq,8,FALSE
2/18/2026 10:34:50,QFF-001,DP-059,Bergweg 7 ,KA32,Simon Pizarro,2/18/2026,2/18/2026,150,Negro,,https://drive.google.com/open?id=17yLWRk2d9RGSbEg4HgKQXCo2Yxa4TNu1,8,FALSE
2/18/2026 11:40:53,QFF-001,DP-062,Lerchenweg 6,KA05,Simon Pizarro,2/18/2026,2/18/2026,88,Option 5,Se alargo el tubo blanco con tubo naranja,https://drive.google.com/open?id=1PGF6qiwaXQlDfC3BWmlphJFfqkFbrY_a,8,FALSE
